signal_cycle,phase,follower_id,leader_id,follower_type,leader_type,min_TTC_s,max_DRAC_mps2,mean_TTC_s,interaction_duration_s,n_timesteps,critical_TTC,critical_DRAC,is_critical
1,GREEN,1,9,truck,car,26.442060085836925,0.0026435156630417,26.442060085836925,0.0,1,False,False,False
1,GREEN,1,11,truck,truck,7.677758620689656,0.0377714401203655,46.5492179718031,1.2,3,False,False,False
1,GREEN,2,7,car,car,0.4572639866757513,2.8887033278145693,0.916260998753862,1.0,6,True,False,True
1,GREEN,3,2,car,car,13.194161575016963,0.0279100720349884,28.804784135826424,0.4,3,False,False,False
1,GREEN,3,5,car,car,4.216177523264137,0.115969974533107,10.512005035472171,0.6,4,False,False,False
1,GREEN,3,7,car,car,6.044393218322428,0.2253985824403981,7.789617729338773,2.0,11,False,False,False
1,GREEN,3,9,car,car,1.8890367008373112,0.3382411785418392,3.4635502995939724,1.2,7,False,False,False
1,GREEN,3,11,car,truck,3.606925271843912,0.179751436787753,19.36993247494021,1.2,7,False,False,False
1,GREEN,3,17,car,car,3.6971088224345454,0.1089905705655311,4.239102239088215,0.4,3,False,False,False
1,GREEN,3,22,car,car,9.265169321842082,0.0626589291970129,10.126854764158837,0.4,3,False,False,False
1,GREEN,4,2,car,car,6.053399002008941,0.1274573177390001,18.469280599184085,0.4,3,False,False,False
1,GREEN,4,5,car,car,0.8992743731589914,1.062305180311058,1.5869603825910246,0.6,4,True,False,True
1,GREEN,4,7,car,car,4.615993788819876,0.3487872977427927,8.72711786429676,2.4,13,False,False,False
1,GREEN,4,8,car,truck,15.0116157509583,0.0286744616396487,15.0116157509583,0.0,1,False,False,False
1,GREEN,4,9,car,car,1.0204127310980795,1.0946061000219345,1.5208378359744252,0.8,5,True,False,True
1,GREEN,4,11,car,truck,1.905816544635954,0.576891833106641,9.115561090936936,0.6,4,False,False,False
1,GREEN,5,2,car,car,4.51876794385567,0.312175800467495,4.51876794385567,0.0,1,False,False,False
1,GREEN,5,7,car,car,3.6071272409269777,0.3170112734105098,6.412030594206503,1.2,7,False,False,False
1,GREEN,6,5,car,car,2.7677812411448004,0.1275028512925518,13.515908829980582,0.2,2,False,False,False
1,GREEN,6,7,car,car,7.751088850174216,0.1184865788216784,10.778665316082119,1.4,8,False,False,False
1,GREEN,6,9,car,car,1.3498690242305174,0.288275582077052,3.7878174966119538,1.2,6,True,False,True
1,GREEN,6,11,car,truck,3.3597660818713444,0.1272410011835967,17.920958585145385,1.6,8,False,False,False
1,GREEN,9,7,car,car,3.5588085892403605,0.3042450788934159,6.624035096456052,2.2,12,False,False,False
1,GREEN,9,11,car,truck,1.35506072874494,0.0911398267104869,1.35506072874494,0.0,1,True,False,True
1,GREEN,10,3,bus,car,0.0963075283799844,12.66827236170213,0.27460504397165486,0.2,2,True,True,True
1,GREEN,10,8,bus,truck,14.914711230409566,0.038716807256894,17.793344425713165,0.2,2,False,False,False
1,GREEN,11,7,truck,car,0.1526402943882244,8.901646878013501,1.733994389252227,2.0,11,True,True,True
