signal_cycle,phase,total_interactions,critical_conflicts,critical_TTC_only,critical_DRAC_only,mean_min_TTC_s,mean_max_DRAC_mps2,conflict_rate_pct
1,GREEN,555,94,94,26,14.204696350071812,0.8772688588248182,16.94
1,UNKNOWN,305,122,120,76,11.97612265493429,7.0733388559054236,40.0
2,GREEN,330,44,44,5,14.394752124655932,0.39197668770290367,13.33
3,GREEN,206,37,37,6,10.221665126069666,0.6886782107566244,17.96
4,GREEN,396,73,73,19,14.424108299548742,0.7868266058244219,18.43
4,RED,21,2,2,0,8.796552622494314,0.24861947438732937,9.52
5,GREEN,254,114,110,73,6.416052948069246,3.744240392898655,44.88
6,GREEN,47,21,20,17,17.23140351208541,3.2244846434269134,44.68
7,GREEN,110,61,60,42,3.775869348747189,7.980820470242887,55.45
