timestamp_s,mean_speed_kmh,median_speed_kmh,n_vehicles,std_speed_kmh,smooth_speed_kmh,phase,signal_cycle
0.0,6.879454545454546,4.675,11,6.3136664600473855,7.51009865967366,GREEN,1
0.2,8.251630769230768,6.8814,13,6.229690502395847,7.541194763569764,GREEN,1
0.4,7.837508333333333,5.180400000000001,12,6.786318478910121,7.4314679237429235,GREEN,1
0.567,8.963733333333332,12.6024,3,6.620178981215941,7.740545845820846,GREEN,1
0.6,7.097127272727272,4.9629,11,5.829692128250155,7.842939352314352,GREEN,1
0.733,6.111366666666666,5.3812,3,5.764438103001309,7.8648825757575755,GREEN,1
0.767,9.043000000000001,12.8363,3,6.750074386997524,7.060381385281384,GREEN,1
0.8,7.596209090909091,4.9576,11,6.680409157297859,6.899540909090908,GREEN,1
0.9,8.405233333333333,1.401,3,13.11413091833894,7.126062727272727,GREEN,1
0.933,2.206,1.4899,4,2.025777669604112,6.665490346320346,GREEN,1
0.967,7.8378499999999995,6.98585,4,8.060188189076811,6.553590346320346,GREEN,1
1.0,8.68278,7.425650000000001,10,7.569864244753666,6.362509047619048,GREEN,1
1.133,2.88736,2.1226,5,2.489190858090234,5.515080476190476,GREEN,1
1.167,8.2597,4.6352,6,9.475497923592195,7.0329661904761895,GREEN,1
1.2,6.25864,5.58245,10,3.983472842243171,6.821241904761904,GREEN,1
1.333,2.4732333333333334,0.8643,3,2.8879709162893823,7.341078095238095,GREEN,1
1.367,12.8312,12.6212,5,12.264161382866748,8.333613679653679,GREEN,1
1.4,6.35578,6.041650000000001,10,3.5632418269510326,8.903151774891775,GREEN,1
1.567,12.321633333333333,10.9304,3,11.514658255603305,9.13461748917749,GREEN,1
1.6,9.835109090909091,7.7356,11,6.996948140075721,9.517703203463203,GREEN,1
1.767,12.246466666666668,11.0587,3,9.7978955037974,9.334369870129871,GREEN,1
1.8,7.8789,6.77215,10,6.244060119647934,9.73471717171717,GREEN,1
1.9,5.154833333333333,2.0429,3,6.776918237911192,8.570269552669552,GREEN,1
1.967,11.547866666666666,10.1905,3,8.032035732199734,8.493263492063491,GREEN,1
2.0,9.158211111111111,6.9453,9,7.005247568688142,8.736096825396825,GREEN,1
2.1,4.1705,1.0269,3,6.059687567028519,8.175877777777776,GREEN,1
2.167,9.296066666666666,9.0521,3,4.6350679459241295,7.758901587301587,GREEN,1
2.2,13.9463,8.6938,6,12.576073309582764,7.383115873015873,GREEN,1
2.3,3.957366666666667,0.9991,3,5.8322224420312825,7.965297619047619,GREEN,1
2.333,2.2359999999999998,1.8434,3,1.7195489030556819,7.818326190476191,GREEN,1
2.367,8.917366666666666,8.756,3,4.340300358654149,6.958105952380953,GREEN,1
2.4,13.233483333333334,9.290700000000001,6,11.786465159735835,6.100110714285715,GREEN,1
2.5,3.1417,0.3326,3,4.925467457003447,6.964639285714286,GREEN,1
2.533,3.2745249999999997,3.5058499999999997,4,2.2288438682793967,7.0563488095238105,GREEN,1
2.567,7.940333333333334,8.4451,3,3.3799377869027905,6.144386904761906,GREEN,1
2.6,10.009066666666667,9.24975,6,8.503505153445056,5.744732142857144,GREEN,1
2.7,2.877966666666667,0.4566,3,4.367665878170323,7.000134523809524,GREEN,1
2.733,2.5336333333333334,1.978,3,2.1230017341804817,6.955930952380953,GREEN,1
2.767,10.4359,8.3459,4,7.2301512128032295,7.413619047619049,GREEN,1
2.8,11.929516666666666,12.1446,6,9.260095539985896,7.529643809523811,GREEN,1
2.9,2.9651,1.0756,3,3.6544759145464347,7.77046761904762,GREEN,1
2.967,11.14415,7.31895,4,9.693979932755518,8.784337857142857,GREEN,1
3.0,10.82124,10.5575,5,9.850398940296783,8.683443571428572,GREEN,1
3.133,4.563733333333333,1.8256,3,5.709335475634037,7.648841190476191,GREEN,1
3.167,9.630725,5.9322,4,7.992132094076441,8.146084047619048,GREEN,1
3.2,9.72964,12.5796,5,7.387286964982476,8.193739761904762,GREEN,1
3.333,4.6873,2.08,3,5.7190693972009115,7.313334047619049,GREEN,1
3.367,6.4458,5.7125,5,3.3963044717751676,7.531019761904764,GREEN,1
3.4,11.47774,13.2249,5,9.685750152827605,8.221101904761907,GREEN,1
3.533,4.6584,2.3501,3,5.458290535506515,7.813724761904764,GREEN,1
3.567,6.087533333333333,6.4705,3,1.1556631444038243,7.845896190476192,GREEN,1
3.6,14.4613,17.2624,5,9.011812746612081,7.588605714285715,GREEN,1
3.667,6.878,3.7335,3,6.263342423179496,6.884566666666667,GREEN,1
3.7,4.9125,4.5176,3,4.302563376639558,8.11680380952381,GREEN,1
3.733,4.6447666666666665,2.6131,3,5.234751581816785,7.975084761904762,GREEN,1
