frame_number,vehicle_id,timestamp_s,vehicle_type,x_center_px,y_center_px,x_front_px,y_front_px,x_min,y_min,x_max,y_max,width_px,height_px,confidence,vehicle_length_m,vehicle_width_m
18,4,0.6,car,133.12,206.89,166.37,206.89,99.87,184.09,166.37,229.7,66.5,45.61,0.9146,4.5,1.8
18,3,0.6,car,140.45,171.04,165.31,171.04,115.59,155.24,165.31,186.84,49.72,31.6,0.8801,4.5,1.8
18,5,0.6,car,295.94,173.71,314.88,173.71,276.99,155.41,314.88,192.01,37.9,36.6,0.8649,4.5,1.8
18,2,0.6,car,419.12,183.25,443.19,183.25,395.05,162.88,443.19,203.61,48.14,40.73,0.8631,4.5,1.8
18,7,0.6,car,563.76,173.32,588.9,173.32,538.61,154.76,588.9,191.88,50.28,37.13,0.8066,4.5,1.8
18,8,0.6,truck,544.81,243.84,584.31,243.84,505.31,195.77,584.31,291.92,79.0,96.15,0.739,8.0,2.5
18,9,0.6,car,318.13,143.32,331.7,143.32,304.56,129.36,331.7,157.28,27.14,27.92,0.7301,4.5,1.8
18,11,0.6,truck,407.16,127.56,427.97,127.56,386.35,101.57,427.97,153.54,41.62,51.98,0.7103,8.0,2.5
18,6,0.6,car,192.07,146.49,207.96,146.49,176.18,134.41,207.96,158.56,31.78,24.15,0.6775,4.5,1.8
18,1,0.6,truck,159.92,112.23,177.55,112.23,142.28,95.85,177.55,128.61,35.27,32.75,0.5791,8.0,2.5
18,14,0.6,car,12.47,141.7,24.66,141.7,0.28,132.15,24.66,151.25,24.38,19.09,0.5149,4.5,1.8
21,20,0.7,car,21.95,265.69,43.67,265.69,0.23,237.5,43.67,293.89,43.43,56.39,0.7462,4.5,1.8
21,19,0.7,bus,422.09,91.5,460.18,91.5,384.0,76.28,460.18,106.71,76.18,30.43,0.7106,12.0,2.5
22,22,0.733,car,511.4,140.19,528.64,140.19,494.16,127.34,528.64,153.04,34.48,25.7,0.6839,4.5,1.8
22,12,0.733,truck,114.7,131.87,139.25,131.87,90.15,113.92,139.25,149.82,49.11,35.9,0.64,8.0,2.5
22,13,0.733,motorcycle,420.33,343.65,437.31,343.65,403.35,327.62,437.31,359.69,33.96,32.07,0.6358,2.0,0.8
23,21,0.767,car,17.08,198.6,33.99,198.6,0.17,180.24,33.99,216.97,33.83,36.74,0.8182,4.5,1.8
23,17,0.767,car,350.34,110.25,358.82,110.25,341.85,100.99,358.82,119.5,16.97,18.5,0.6013,4.5,1.8
23,10,0.767,truck,73.74,193.01,94.17,193.01,53.31,171.5,94.17,214.52,40.86,43.01,0.5094,8.0,2.5
24,2,0.8,car,423.83,191.37,448.63,191.37,399.02,170.7,448.63,212.04,49.61,41.35,0.8813,4.5,1.8
24,4,0.8,car,144.16,199.2,175.21,199.2,113.1,177.15,175.21,221.25,62.11,44.09,0.8503,4.5,1.8
24,3,0.8,car,148.55,166.26,171.94,166.26,125.17,152.68,171.94,179.85,46.76,27.17,0.8235,4.5,1.8
24,5,0.8,car,293.2,180.93,313.77,180.93,272.62,161.22,313.77,200.64,41.14,39.42,0.8164,4.5,1.8
24,11,0.8,truck,408.41,131.2,429.78,131.2,387.04,104.13,429.78,158.28,42.74,54.15,0.782,8.0,2.5
24,7,0.8,car,562.23,174.08,586.56,174.08,537.9,155.06,586.56,193.1,48.66,38.04,0.7777,4.5,1.8
24,9,0.8,car,317.73,147.97,331.63,147.97,303.82,133.81,331.63,162.12,27.81,28.31,0.7533,4.5,1.8
24,8,0.8,truck,557.57,258.35,600.39,258.35,514.75,206.42,600.39,310.28,85.64,103.85,0.7079,8.0,2.5
24,6,0.8,car,196.43,144.59,211.38,144.59,181.47,133.16,211.38,156.02,29.9,22.86,0.5331,4.5,1.8
24,1,0.8,truck,163.32,112.36,180.47,112.36,146.17,97.45,180.47,127.27,34.29,29.82,0.447,8.0,2.5
24,14,0.8,car,10.96,142.73,21.88,142.73,0.04,133.31,21.88,152.15,21.84,18.84,0.4386,4.5,1.8
27,20,0.9,car,33.19,248.41,66.25,248.41,0.12,221.37,66.25,275.45,66.13,54.08,0.8198,4.5,1.8
27,19,0.9,bus,421.25,93.27,458.0,93.27,384.49,77.8,458.0,108.75,73.5,30.95,0.789,12.0,2.5
27,15,0.9,car,228.89,120.3,238.77,120.3,219.02,111.59,238.77,129.01,19.75,17.42,0.5546,4.5,1.8
28,23,0.933,car,323.78,115.33,335.12,115.33,312.44,104.76,335.12,125.89,22.68,21.13,0.7305,4.5,1.8
28,24,0.933,truck,468.67,120.98,481.05,120.98,456.28,106.57,481.05,135.39,24.77,28.82,0.616,8.0,2.5
28,22,0.933,car,510.8,141.1,528.14,141.1,493.47,128.57,528.14,153.64,34.67,25.07,0.5887,4.5,1.8
28,12,0.933,truck,121.22,131.44,145.38,131.44,97.07,112.41,145.38,150.47,48.32,38.06,0.4217,8.0,2.5
29,21,0.967,car,24.94,188.14,49.76,188.14,0.11,170.1,49.76,206.19,49.64,36.09,0.8658,4.5,1.8
29,25,0.967,truck,377.45,115.33,390.93,115.33,363.96,97.73,390.93,132.93,26.97,35.2,0.5543,8.0,2.5
29,17,0.967,car,349.56,111.53,358.46,111.53,340.65,101.92,358.46,121.14,17.82,19.22,0.4628,4.5,1.8
29,10,0.967,car,88.98,181.92,107.85,181.92,70.11,162.76,107.85,201.08,37.74,38.32,0.43,4.5,1.8
30,2,1.0,car,430.24,201.38,457.56,201.38,402.91,178.83,457.56,223.92,54.65,45.09,0.8686,4.5,1.8
30,5,1.0,car,288.57,190.2,310.47,190.2,266.66,168.67,310.47,211.73,43.81,43.06,0.8236,4.5,1.8
30,8,1.0,truck,577.46,278.74,626.34,278.74,528.59,222.27,626.34,335.2,97.76,112.93,0.8168,8.0,2.5
30,11,1.0,truck,411.08,136.35,433.53,136.35,388.64,109.01,433.53,163.69,44.89,54.69,0.8033,8.0,2.5
30,4,1.0,car,158.05,186.82,185.6,186.82,130.5,166.6,185.6,207.03,55.1,40.43,0.8014,4.5,1.8
30,7,1.0,car,560.26,175.05,584.62,175.05,535.9,157.14,584.62,192.96,48.72,35.82,0.7866,4.5,1.8
30,3,1.0,car,157.09,159.7,179.51,159.7,134.67,145.68,179.51,173.71,44.85,28.02,0.7818,4.5,1.8
30,9,1.0,car,315.38,152.95,329.48,152.95,301.27,138.43,329.48,167.46,28.21,29.03,0.7664,4.5,1.8
